handle,problem,rating
munditva,Who's Opposite?,1
munditva,Mocha and Hiking,1
munditva,Manhattan Subarrays,1
munditva,Maximum Cost Deletion,1
munditva,Travelling Salesman Problem,1
munditva,Moamen and XOR,1
munditva,Moamen and k-subarrays,1
munditva,Ezzat and Two Subsequences,1
munditva,Let Them Slide,1
munditva,Into Blocks (easy version),1
munditva,RPD and Rap Sheet (Easy Version),1
munditva,Exciting Bets,1
munditva,Priority Queue,1
munditva,Great Graphs,1
munditva,Pleasant Pairs,1
munditva,Diane,1
munditva,Web of Lies,1
munditva,The Three Little Pigs,1
munditva,Gregor and the Pawn Game,1
munditva,Domino (easy version),1
munditva,Wonderful Coloring - 2,1
munditva,Playoff Tournament,1
munditva,"It's a bird! No, it's a plane! No, it's AaParsa!",1
munditva,Trees of Tranquillity,1
munditva,Goblins And Gnomes,1
munditva,Palindrome Game (hard version),1
munditva,Sequence Pair Weight,1
munditva,Palindrome Game (easy version),1
munditva,Armchairs,1
munditva,Silly Mistake,1
munditva,Harmonious Graph,1
munditva,Robot Collisions,1
munditva,Permutation Sort,1
munditva,Mashmokh and ACM,1
munditva,Mashmokh and Tokens,1
munditva,Mashmokh and Lights,1
munditva,Task On The Board,1
munditva,Nastia and a Beautiful Matrix,1
munditva,Nastia Plays with a Tree,1
munditva,Nastia and a Hidden Permutation,1
munditva,Nastia and a Good Array,1
munditva,Nastia and Nearly Good Numbers,1
munditva,To Go Or Not To Go?,1
munditva,Guess the K-th Zero (Easy version),1
munditva,Ordinary Numbers,1
munditva,Trouble Sort,1
munditva,Phoenix and Puzzle,1
munditva,String Coloring (easy version),1
munditva,Maximum Sum of Products,1
munditva,Sleeping Schedule,1
munditva,Yet Another Palindrome Problem,1
munditva,Atomic Energy,1
munditva,Classy Numbers,1
munditva,Ticket Game,1
munditva,Yellow Cards,1
munditva,Nuclear Fusion,1
munditva,GCD and MST,1
munditva,Add One,1
munditva,AND Sequences,1
munditva,Cut,1
munditva,Baby Ehab Partitions Again,1
munditva,Tit for Tat,1
munditva,X-OR,1
munditva,Binary Literature,1
munditva,TMT Document,1
munditva,Long Beautiful Integer,1
munditva,Domino for Young,1
munditva,Modulo Equality,1
munditva,Equation,1
munditva,Plan of Lectures,1
munditva,Epic Transformation,1
munditva,Inversion Expectation,1
munditva,Paired Payment,1
munditva,Guessing the Greatest (easy version),1
munditva,Shifting Stacks,1
munditva,Longest Simple Cycle,1
munditva,Nezzar and Symmetric Array,1
munditva,Strange Beauty,1
munditva,Array Destruction,1
munditva,What Is It?,1
munditva,Three Bags,1
munditva,Hills And Valleys,1
munditva,Wizard of Orz,1
munditva,Strange Definition,1
munditva,Strange Partition,1
munditva,Robot Breakout,1
munditva,Odd Sum Segments,1
munditva,Carousel,1
munditva,Skyscrapers (hard version),1
munditva,Peaceful Rooks,1
munditva,Row GCD,1
munditva,Move and Turn,1
munditva,Find The Array,1
munditva,Dungeon,1
munditva,Find the Spruce,1
munditva,Rating Compression,1
munditva,Toy Blocks,1
munditva,Bitwise Queries (Easy Version),1
munditva,Circle Game,1
munditva,Hexagons,1
munditva,Fence,1
munditva,Returning Home,1
munditva,String Deletion,1
munditva,"Rock, Paper, Scissors",1
munditva,Non-zero Segments,1
munditva,Two Arrays,1
munditva,Mortal Kombat Tower,1
munditva,Buying Torches,1
munditva,Link Cut Centroids,1
munditva,Tree Tag,1
munditva,Array Cancellation,1
munditva,Binary String Reconstruction,1
munditva,Maximum Distributed Tree,1
munditva,Dynamic Diameter,1
munditva,Omkar and Infinity Clock,1
munditva,Bad Triangle,1
munditva,Uncle Bogdan and Country Happiness,1
munditva,Captain Flint and Crew Recruitment,1
munditva,Good String,1
munditva,Good Substrings,1
munditva,Working out,1
munditva,GameGame,1
munditva,Common Prefixes,1
munditva,Good Sequences,1
munditva,Common Divisors,1
munditva,Colorful Graph,1
munditva,Multiplication Table,1
munditva,Prefix Flip (Easy Version),1
munditva,Prefix Flip (Hard Version),1
munditva,"Prizes, Prizes, more Prizes",1
munditva,Removing Leaves,1
munditva,a-Good String,1
munditva,Restore the Permutation by Merger,1
munditva,Berserk And Fireball,1
munditva,Omkar and Last Class of Math,1
munditva,Reading Books (easy version),1
munditva,Zero Remainder Array,1
munditva,Sum of Digits,1
munditva,The Hidden Pair (Easy Version),1
munditva,Binary Subsequence Rotation,1
munditva,Number Game,1
munditva,GCD Compression,1
munditva,Arithmetic Progression,1
munditva,Valera and Tubes ,1
munditva,Palindrome Transformation,1
munditva,Gargari and Bishops,1
munditva,Codeforces Subsequences,1
munditva,k-Tree,1
munditva,Beautiful Sets of Points,1
munditva,Social Distance,1
munditva,Table Decorations,1
munditva,Boredom,1
munditva,Team,1
munditva,Number of Ways,1
munditva,Ehab and Prefix MEXs,1
munditva,XXXXX,1
munditva,Two Divisors,1
munditva,Palindromic Paths,1
munditva,Simple Polygon Embedding,1
munditva,Solve The Maze,1
munditva,Matrix Game,1
munditva,Johnny and Grandmaster,1
munditva,Johnny and Ancient Computer,1
munditva,Subsequence Hate,1
munditva,Celex Update,1
munditva,Payment Without Change,1
munditva,Similar Pairs,1
munditva,Two Arrays And Swaps,1
munditva,Same Parity Summands,1
munditva,Phoenix and Beauty,1
munditva,Road To Zero,1
munditva,Pipes,1
munditva,Social Network (hard version),1
munditva,Balanced Array,1
munditva,Anti-Sudoku,1
munditva,Two Teams Composing,1
munditva,Yet Another Walking Robot,1
munditva,Yet Another Tetris Problem,1
mohamed_1995,Kefa and First Steps,1
mohamed_1995,Bear and Big Brother,1
mohamed_1995,HQ9+,1
mohamed_1995,Lucky Division,1
mohamed_1995,Chat room,1
mohamed_1995,Football,1
mohamed_1995,Helpful Maths,1
mohamed_1995,Summer Camp,1
mohamed_1995,Wet Shark and Odd and Even,1
mohamed_1995,T-primes,1
mohamed_1995,Link/Cut Tree,1
mohamed_1995,Magic Spheres,1
mohamed_1995,Asphalting Roads,1
mohamed_1995,Tricky Sum,1
mohamed_1995,Uncowed Forces,1
mohamed_1995,Two Bases,1
mohamed_1995,Divisibility,1
mohamed_1995,Vitaly and Night,1
mohamed_1995,Olesya and Rodion,1
mohamed_1995,Raising Bacteria,1
mohamed_1995,Lineland Mail,1
mohamed_1995,Multiplication Table,1
mohamed_1995,Petya and Strings,1
mohamed_1995,Way Too Long Words,1
mohamed_1995,Lala Land and Apple Trees,1
mohamed_1995,inc ARG,1
mohamed_1995,Soldier and Badges,1
mohamed_1995,Pasha and Tea,1
mohamed_1995,Young Physicist,1
mohamed_1995,Theatre Square,1
mohamed_1995,Ilya and Diplomas,1
mohamed_1995,Anton and Letters,1
mohamed_1995,Vanya and Books,1
mohamed_1995,Two Substrings,1
mohamed_1995,Taxi,1
